,UMAP1,UMAP2,UMAP3,cluster,protein,calories,calcium,total_fat,saturated_fat,cholesterol,sodium,carbohydrate,fat,fiber,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans
count,8789.0,8789.0,8789.0,8789.0,8789.0,8789.0,8789.0,8789.0,8789.0,8789.0,8789.0,8789.0,8789.0,8789.0,8789.0,8789.0,8789.0,8789.0
mean,8.022923469543457,6.342758655548096,9.07589340209961,52.970190010240074,11.345616111047901,226.28387757424053,73.3173284787803,10.556855159858916,3.509475281697259,38.72306291955854,306.3538514051655,22.12191489361702,10.550794174536351,2.0400728182955965,3.4341464330413016,3.772312663556719,2.114332461030834,38.72306291955854
std,10.7715425491333,9.221881866455078,4.74371337890625,46.6380080993452,10.53060165035358,169.86200144926752,199.8504253984988,15.818247456755932,6.42673962392947,117.35894405439014,939.2204683927266,27.266261296813184,15.814870044557667,4.269181010869957,6.426585946813954,6.826234391772351,5.050045356657255,117.35894405439014
min,-16.019168853759766,-12.306986808776855,-3.6268951892852783,-1.0,0.0,0.0,0.0,0.0,-0.3870627284049988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,-1.5044701099395752,-4.019959926605225,6.359710216522217,0.0,2.38,91.0,8.0,1.0,0.2965289354324341,0.0,36.0,0.05,0.95,0.0,0.149,0.074,0.134,0.0
50%,10.340680122375488,9.12079906463623,8.698870658874512,54.0,8.02,191.0,19.0,5.1,1.5,2.0,84.0,9.34,5.13,0.4,1.435,1.6,0.591,2.0
75%,17.467418670654297,13.436394691467285,10.922483444213867,97.0,19.88,337.0,63.0,14.0,4.2,65.0,396.0,34.91,13.72,2.4,4.174,4.76,1.88,65.0
max,26.120304107666016,22.7127742767334,20.717243194580078,131.0,88.32,902.0,7364.0,100.0,96.0,3100.0,38758.0,100.0,100.0,79.0,95.6,83.689,74.623,3100.0
